epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8256,1.57793,2.07208,1.21657,0.61959,0.64964,0.67303,0.38211,1.40944,1.48577,1.15312,0.00036934,0.00036934,0.00036934
2,75.2247,1.3758,1.26544,1.11293,0.71938,0.66344,0.72631,0.42933,1.34541,1.07136,1.14219,0.000725028,0.000725028,0.000725028
3,110.196,1.33668,1.11819,1.1028,0.71456,0.67259,0.70753,0.42113,1.36378,1.06772,1.16289,0.00106605,0.00106605,0.00106605
4,145.156,1.30094,1.04217,1.09196,0.75173,0.72992,0.7783,0.46459,1.26961,0.97,1.13381,0.00104501,0.00104501,0.00104501
5,179.792,1.25703,0.97708,1.07474,0.76276,0.7056,0.77979,0.47512,1.27607,0.97417,1.13648,0.00102301,0.00102301,0.00102301
6,214.477,1.22677,0.92282,1.05804,0.80049,0.75392,0.80947,0.51167,1.22388,0.89762,1.08951,0.00100101,0.00100101,0.00100101
7,249.364,1.20178,0.90705,1.05442,0.79743,0.74899,0.82119,0.51095,1.20232,0.8468,1.08078,0.000979013,0.000979013,0.000979013
8,284.548,1.17587,0.86941,1.04279,0.79596,0.77752,0.81508,0.50878,1.24444,0.84695,1.09205,0.000957015,0.000957015,0.000957015
9,318.965,1.17452,0.87399,1.04323,0.81744,0.77812,0.8489,0.54105,1.15868,0.81001,1.07597,0.000935018,0.000935018,0.000935018
10,353.796,1.14823,0.83657,1.03683,0.83253,0.76963,0.84074,0.5288,1.20044,0.81526,1.07939,0.00091302,0.00091302,0.00091302
11,388.923,1.13132,0.81647,1.02366,0.81849,0.7738,0.83474,0.53651,1.15619,0.78917,1.06809,0.000891022,0.000891022,0.000891022
12,423.369,1.12577,0.80548,1.02973,0.82674,0.77625,0.84178,0.53818,1.15222,0.80486,1.06361,0.000869024,0.000869024,0.000869024
13,458.597,1.10793,0.7927,1.01675,0.83684,0.78418,0.8466,0.55351,1.11687,0.7374,1.04466,0.000847026,0.000847026,0.000847026
14,494.351,1.10609,0.77861,1.01639,0.8419,0.7987,0.8663,0.56403,1.11194,0.73936,1.04989,0.000825029,0.000825029,0.000825029
15,528.523,1.08227,0.7631,1.01087,0.78792,0.76452,0.84725,0.54953,1.14122,0.7981,1.06546,0.000803031,0.000803031,0.000803031
16,563.433,1.07905,0.75911,1.00526,0.86583,0.81162,0.87774,0.57642,1.10842,0.71084,1.05555,0.000781033,0.000781033,0.000781033
17,597.995,1.06735,0.74459,1.00498,0.8521,0.81891,0.86708,0.57351,1.11645,0.71823,1.05143,0.000759035,0.000759035,0.000759035
18,633.314,1.06369,0.72991,1.00198,0.85041,0.80566,0.87103,0.57849,1.08648,0.69507,1.03269,0.000737037,0.000737037,0.000737037
19,668.827,1.04878,0.7309,0.99764,0.85294,0.80874,0.86496,0.5813,1.06526,0.71554,1.0348,0.00071504,0.00071504,0.00071504
20,703.502,1.04315,0.72171,0.99698,0.85284,0.80509,0.86918,0.59274,1.05761,0.68939,1.03257,0.000693042,0.000693042,0.000693042
21,739.305,1.03412,0.70696,0.99833,0.85947,0.82653,0.88645,0.60029,1.04249,0.67071,1.0215,0.000671044,0.000671044,0.000671044
22,774.048,1.02525,0.69268,0.98887,0.84301,0.81324,0.86744,0.57953,1.0898,0.69395,1.04263,0.000649046,0.000649046,0.000649046
23,809.081,1.01054,0.69014,0.98527,0.85591,0.82811,0.88495,0.5924,1.05172,0.67784,1.03225,0.000627048,0.000627048,0.000627048
24,843.963,1.01314,0.68275,0.982,0.84895,0.80617,0.86865,0.58303,1.06505,0.68634,1.03769,0.000605051,0.000605051,0.000605051
25,878.416,1.00736,0.68569,0.98475,0.86095,0.8437,0.88799,0.60634,1.03266,0.63227,1.03162,0.000583053,0.000583053,0.000583053
26,914.089,1.00412,0.67118,0.98537,0.86728,0.84231,0.89259,0.61541,1.03012,0.63497,1.02375,0.000561055,0.000561055,0.000561055
27,949.8,0.98893,0.66232,0.97701,0.86439,0.84255,0.89437,0.61462,1.03322,0.63555,1.02364,0.000539057,0.000539057,0.000539057
28,984.692,0.98978,0.6617,0.97943,0.86906,0.84511,0.89433,0.61453,1.02496,0.63206,1.02661,0.000517059,0.000517059,0.000517059
29,1020.24,0.97699,0.6506,0.97443,0.88119,0.83222,0.89522,0.62035,1.01514,0.6253,1.01503,0.000495062,0.000495062,0.000495062
30,1056.15,0.97562,0.64814,0.97094,0.86385,0.84451,0.89212,0.61256,1.02308,0.62233,1.02689,0.000473064,0.000473064,0.000473064
31,1091.66,0.96993,0.63859,0.96945,0.89778,0.83471,0.89876,0.62398,1.01075,0.61182,1.01039,0.000451066,0.000451066,0.000451066
32,1127.81,0.96387,0.62871,0.96609,0.89085,0.83809,0.89715,0.61692,1.01628,0.62791,1.0026,0.000429068,0.000429068,0.000429068
33,1163.21,0.95692,0.62664,0.96586,0.87668,0.84335,0.89761,0.62217,0.99893,0.61865,1.00001,0.00040707,0.00040707,0.00040707
34,1198.38,0.95119,0.61828,0.96457,0.88463,0.83523,0.89991,0.62655,1.0019,0.61152,1.00533,0.000385073,0.000385073,0.000385073
35,1234.72,0.94592,0.61732,0.96156,0.88531,0.84459,0.9062,0.62908,0.99507,0.59849,1.00834,0.000363075,0.000363075,0.000363075
36,1270.97,0.94204,0.6153,0.96309,0.88577,0.83937,0.90354,0.62724,1.0065,0.60254,0.99908,0.000341077,0.000341077,0.000341077
37,1306.64,0.93508,0.60809,0.95772,0.88351,0.84137,0.9005,0.6274,1.00509,0.59556,1.01155,0.000319079,0.000319079,0.000319079
38,1342.67,0.9292,0.60351,0.95298,0.88674,0.83777,0.90298,0.63167,0.99236,0.58742,1.00408,0.000297081,0.000297081,0.000297081
39,1379.13,0.92151,0.59091,0.95556,0.87421,0.85154,0.90491,0.63311,1.0006,0.58426,1.00058,0.000275084,0.000275084,0.000275084
40,1414.9,0.91742,0.58756,0.9528,0.89274,0.84944,0.91053,0.64171,0.98457,0.57433,1.00411,0.000253086,0.000253086,0.000253086
41,1450.76,0.8683,0.51115,0.92218,0.88548,0.84171,0.90382,0.63218,0.99407,0.59405,1.00541,0.000231088,0.000231088,0.000231088
42,1485.53,0.85065,0.49691,0.91511,0.8961,0.83623,0.90289,0.63514,0.98671,0.59078,0.99919,0.00020909,0.00020909,0.00020909
